subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0005641	aleutian mink disease	skos:closeMatch	DOID:2934	aleutian mink disease	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:d000453	LEXMATCH
MONDO:0005641	aleutian mink disease	skos:closeMatch	DOID:2934	aleutian mink disease	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	mesh:d000453	LEXMATCH
MONDO:0005641	aleutian mink disease	skos:closeMatch	DOID:2934	aleutian mink disease	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	oio:hasDbXref	mesh:d000453	LEXMATCH
MONDO:0005641	aleutian mink disease	skos:closeMatch	DOID:2934	aleutian mink disease	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	skos:exactMatch	mesh:d000453	LEXMATCH
MONDO:0005676	borna disease	skos:closeMatch	DOID:5154	borna disease	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:d001890	LEXMATCH
MONDO:0005676	borna disease	skos:closeMatch	DOID:5154	borna disease	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	mesh:d001890	LEXMATCH
MONDO:0005676	borna disease	skos:closeMatch	DOID:5154	borna disease	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	oio:hasDbXref	mesh:d001890	LEXMATCH
MONDO:0005676	borna disease	skos:closeMatch	DOID:5154	borna disease	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	skos:exactMatch	mesh:d001890	LEXMATCH
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	skos:closeMatch	DOID:2536	chronic inflammatory demyelinating polyneuritis	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	icd10cm:g61.81	LEXMATCH
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	skos:closeMatch	DOID:2536	chronic inflammatory demyelinating polyneuritis	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:d020277	LEXMATCH
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	skos:closeMatch	DOID:2536	chronic inflammatory demyelinating polyneuritis	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	icd10cm:g61.81	LEXMATCH
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	skos:closeMatch	DOID:2536	chronic inflammatory demyelinating polyneuritis	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	mesh:d020277	LEXMATCH
MONDO:0006879	optic papillitis	skos:closeMatch	DOID:146	papilledema	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:d010211	LEXMATCH
MONDO:0006879	optic papillitis	skos:closeMatch	DOID:146	papilledema	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	mesh:d010211	LEXMATCH
MONDO:0007044	Acrodysostosis 1 with or without hormone resistance	skos:closeMatch	DOID:14669	acrodysostosis	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:101800	LEXMATCH
MONDO:0007044	Acrodysostosis 1 with or without hormone resistance	skos:closeMatch	DOID:14669	acrodysostosis	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:101800	LEXMATCH
MONDO:0007044	Acrodysostosis 1 with or without hormone resistance	skos:closeMatch	DOID:14669	acrodysostosis	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:101800	LEXMATCH
MONDO:0007315	cherubism	skos:closeMatch	DOID:0070648	cherubism	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:d002636	LEXMATCH
MONDO:0007315	cherubism	skos:closeMatch	DOID:0070648	cherubism	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	mesh:d002636	LEXMATCH
MONDO:0007315	cherubism	skos:closeMatch	DOID:0070648	cherubism	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	mesh:d002636	LEXMATCH
MONDO:0009465	multiple intestinal atresia	skos:closeMatch	DOID:14671	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	meddra:10028210	LEXMATCH
MONDO:0009465	multiple intestinal atresia	skos:closeMatch	DOID:14671	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:c562441	LEXMATCH
MONDO:0009465	multiple intestinal atresia	skos:closeMatch	DOID:14671	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.5	skos:closeMatch	oio:hasDbXref	meddra:10028210	LEXMATCH
MONDO:0009465	multiple intestinal atresia	skos:closeMatch	DOID:14671	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.5	skos:relatedMatch	oio:hasDbXref	mesh:c562441	LEXMATCH
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	skos:closeMatch	DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:264350	LEXMATCH
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	skos:closeMatch	DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	omim:264350	LEXMATCH
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	skos:closeMatch	DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:264350	LEXMATCH
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	skos:closeMatch	DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:264350	LEXMATCH
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	skos:closeMatch	DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch	omim:264350	LEXMATCH
MONDO:0009962	Senior-Loken syndrome 1	skos:closeMatch	DOID:0061277	Senior-Loken syndrome 1	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:266900	LEXMATCH
MONDO:0009962	Senior-Loken syndrome 1	skos:closeMatch	DOID:0061277	Senior-Loken syndrome 1	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	omim:266900	LEXMATCH
MONDO:0009962	Senior-Loken syndrome 1	skos:closeMatch	DOID:0061277	Senior-Loken syndrome 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:266900	LEXMATCH
MONDO:0009962	Senior-Loken syndrome 1	skos:closeMatch	DOID:0061277	Senior-Loken syndrome 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:266900	LEXMATCH
MONDO:0009962	Senior-Loken syndrome 1	skos:closeMatch	DOID:0061277	Senior-Loken syndrome 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch	omim:266900	LEXMATCH
MONDO:0010172	VACTERL with hydrocephalus	skos:closeMatch	DOID:14679	VACTERL association	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:276950	LEXMATCH
MONDO:0010172	VACTERL with hydrocephalus	skos:closeMatch	DOID:14679	VACTERL association	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:276950	LEXMATCH
MONDO:0010172	VACTERL with hydrocephalus	skos:closeMatch	DOID:14679	VACTERL association	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:276950	LEXMATCH
MONDO:0010194	Weill-Marchesani syndrome 1	skos:closeMatch	DOID:0061273	Weill-Marchesani syndrome 1	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:277600	LEXMATCH
MONDO:0010194	Weill-Marchesani syndrome 1	skos:closeMatch	DOID:0061273	Weill-Marchesani syndrome 1	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	omim:277600	LEXMATCH
MONDO:0010194	Weill-Marchesani syndrome 1	skos:closeMatch	DOID:0061273	Weill-Marchesani syndrome 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:277600	LEXMATCH
MONDO:0010194	Weill-Marchesani syndrome 1	skos:closeMatch	DOID:0061273	Weill-Marchesani syndrome 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:277600	LEXMATCH
MONDO:0010194	Weill-Marchesani syndrome 1	skos:closeMatch	DOID:0061273	Weill-Marchesani syndrome 1	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch	omim:277600	LEXMATCH
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	skos:closeMatch	DOID:0061195	proximal renal tubular acidosis-ocular anomaly syndrome	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	omim:604278	LEXMATCH
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	skos:closeMatch	DOID:0061195	proximal renal tubular acidosis-ocular anomaly syndrome	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:exactMatch	omim:604278	LEXMATCH
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	skos:closeMatch	DOID:0061195	proximal renal tubular acidosis-ocular anomaly syndrome	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	oio:hasDbXref	omim:604278	LEXMATCH
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	skos:closeMatch	DOID:0061195	proximal renal tubular acidosis-ocular anomaly syndrome	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	oio:hasDbXref	omim:604278	LEXMATCH
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	skos:closeMatch	DOID:0061195	proximal renal tubular acidosis-ocular anomaly syndrome	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:exactMatch	omim:604278	LEXMATCH
MONDO:0011527	Charcot-Marie-Tooth disease type 4E	skos:closeMatch	DOID:0070678	congenital hypomyelinating neuropathy	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	oio:hasDbXref	mesh:c535301	LEXMATCH
