subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000402	small cell carcinoma	skos:closeMatch	NCIT:C4099	Small Cell Intermediate Cell Carcinoma	semapv:LexicalMatching	oaklib	0.5	rdf:ID	oio:hasDbXref-INVERSE	mondo:0000402	LEXMATCH
MONDO:0000402	small cell carcinoma	skos:closeMatch	NCIT:C4099	Small Cell Intermediate Cell Carcinoma	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:relatedMatch-INVERSE	mondo:0000402	LEXMATCH
MONDO:0000408	fetal alcohol spectrum disorder	skos:closeMatch	NCIT:C84713	Fetal Alcohol Syndrome	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	fetal alcohol syndrome	LEXMATCH
MONDO:0000408	fetal alcohol spectrum disorder	skos:closeMatch	NCIT:C84713	Fetal Alcohol Syndrome	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	fetal alcohol syndrome	LEXMATCH
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	rdf:ID	oio:hasDbXref-INVERSE	mondo:0000503	LEXMATCH
MONDO:0000503	lung adenocarcinoma in situ	skos:closeMatch	NCIT:C8748	Stage 0 Lung Adenosquamous Carcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.5	rdf:ID	skos:relatedMatch-INVERSE	mondo:0000503	LEXMATCH
MONDO:0001046	imperforate anus	skos:closeMatch	NCIT:C78173	Anal Stenosis	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	anal stenosis	LEXMATCH
MONDO:0001046	imperforate anus	skos:closeMatch	NCIT:C78173	Anal Stenosis	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	anal stenosis	LEXMATCH
MONDO:0001105	renal hypertension	skos:closeMatch	NCIT:C85044	Renovascular Hypertension	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	renovascular hypertension	LEXMATCH
MONDO:0001105	renal hypertension	skos:closeMatch	NCIT:C85044	Renovascular Hypertension	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	renovascular hypertension	LEXMATCH
MONDO:0001246	typhus	skos:closeMatch	NCIT:C84688	Endemic Typhus Fever	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	endemic flea-borne typhus	LEXMATCH
