subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0009413	immunodeficiency, common variable, 2	skos:closeMatch	Orphanet:696907	Common variable immunodeficiency phenotype due to homozygous TACI deficiency	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:narrowMatch	omim:240500	LEXMATCH
MONDO:0009413	immunodeficiency, common variable, 2	skos:closeMatch	Orphanet:696907	Common variable immunodeficiency phenotype due to homozygous TACI deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:narrowMatch	omim:240500	LEXMATCH
MONDO:0009413	immunodeficiency, common variable, 2	skos:closeMatch	Orphanet:696907	Common variable immunodeficiency phenotype due to homozygous TACI deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:narrowMatch	omim:240500	LEXMATCH
MONDO:0012291	immunoglobulin A deficiency 2	skos:closeMatch	Orphanet:696907	Common variable immunodeficiency phenotype due to homozygous TACI deficiency	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:broadMatch	omim:609529	LEXMATCH
MONDO:0012291	immunoglobulin A deficiency 2	skos:closeMatch	Orphanet:696907	Common variable immunodeficiency phenotype due to homozygous TACI deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:broadMatch	omim:609529	LEXMATCH
MONDO:0012291	immunoglobulin A deficiency 2	skos:closeMatch	Orphanet:696907	Common variable immunodeficiency phenotype due to homozygous TACI deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:broadMatch	omim:609529	LEXMATCH
MONDO:0013283	immunodeficiency, common variable, 3	skos:closeMatch	Orphanet:696881	Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:narrowMatch	omim:613493	LEXMATCH
MONDO:0013283	immunodeficiency, common variable, 3	skos:closeMatch	Orphanet:696881	Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:narrowMatch	omim:613493	LEXMATCH
MONDO:0013283	immunodeficiency, common variable, 3	skos:closeMatch	Orphanet:696881	Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:narrowMatch	omim:613493	LEXMATCH
MONDO:0013286	immunodeficiency, common variable, 6	skos:closeMatch	Orphanet:696881	Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	semapv:LexicalMatching	oaklib	0.5	oio:hasDbXref	skos:narrowMatch	omim:613496	LEXMATCH
MONDO:0013286	immunodeficiency, common variable, 6	skos:closeMatch	Orphanet:696881	Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch	skos:narrowMatch	omim:613496	LEXMATCH
MONDO:0013286	immunodeficiency, common variable, 6	skos:closeMatch	Orphanet:696881	Common variable immunodeficiency phenotype due to CD19/CD81 deficiency	semapv:LexicalMatching	oaklib	0.5	skos:exactMatch-INVERSE	skos:narrowMatch	omim:613496	LEXMATCH
