subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0001883	blue toe syndrome	DOID:1461	MONDO:equivalentTo	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	purple toe syndrome
MONDO:0001883	blue toe syndrome	DOID:1461	MONDO:equivalentTo	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	trash foot
MONDO:0001883	blue toe syndrome	DOID:1461	MONDO:equivalentTo	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	warfarin blue toe syndrome
MONDO:0006879	optic papillitis	DOID:146	MONDO:equivalentTo	papilledema	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	papilledema
MONDO:0006879	optic papillitis	DOID:146	MONDO:equivalentTo	papilledema	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	papilledema
MONDO:0008530	teeth, odd shapes of	DOID:0070690	MONDO:equivalentTo	lobodontia	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:187000
MONDO:0009360	hydrocephalus, nonsyndromic, autosomal recessive 1	DOID:0070682	MONDO:equivalentTo	congenital hydrocephalus 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:236600
MONDO:0009366	normal pressure hydrocephalus	DOID:0070687	MONDO:equivalentTo	normal pressure hydrocephalus 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:236690
MONDO:0009414	glycogen storage disorder due to hepatic glycogen synthase deficiency	DOID:0061271	MONDO:equivalentTo	liver glycogen storage disease	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:240600
MONDO:0009459	channelopathy-associated congenital insensitivity to pain, autosomal recessive	DOID:0070688	MONDO:equivalentTo	autosomal recessive congenital indifference to pain	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:243000
MONDO:0009669	spinal muscular atrophy, type 1	DOID:0060160	MONDO:equivalentTo	childhood spinal muscular atrophy	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	survival motor neuron spinal muscular atrophy
MONDO:0009835	subacute sclerosing panencephalitis	DOID:0070702	MONDO:equivalentTo	measles inclusion body encephalitis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	immunosuppressive measles encephalitis
MONDO:0009865	glycogen storage disease due to phosphoglycerate mutase deficiency	DOID:0061285	MONDO:equivalentTo	glycogen storage disease X	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:261670
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	DOID:0060854	MONDO:equivalentTo	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:264350
MONDO:0010611	X-linked hydrocephalus with stenosis of the aqueduct of Sylvius	DOID:0070686	MONDO:equivalentTo	X-linked congenital hydrocephalus	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:c536078
MONDO:0010611	X-linked hydrocephalus with stenosis of the aqueduct of Sylvius	DOID:0070686	MONDO:equivalentTo	X-linked congenital hydrocephalus	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:307000
MONDO:0012693	glycogen storage disease due to muscle and heart glycogen synthase deficiency	DOID:0061272	MONDO:equivalentTo	muscle glycogen storage disease	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:611556
MONDO:0012747	glycogen storage disease due to aldolase A deficiency	DOID:0061287	MONDO:equivalentTo	glycogen storage disease XII	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:611881
MONDO:0013046	glycogen storage disease due to muscle beta-enolase deficiency	DOID:0061288	MONDO:equivalentTo	glycogen storage disease XIII	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612932
MONDO:0013047	glycogen storage disease due to lactate dehydrogenase M-subunit deficiency	DOID:0061286	MONDO:equivalentTo	glycogen storage disease XI	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612933
MONDO:0013609	Meckel syndrome, type 10	DOID:0061295	MONDO:equivalentTo	Meckel syndrome 10	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614175
MONDO:0013630	Meckel syndrome, type 9	DOID:0061294	MONDO:equivalentTo	Meckel syndrome 9	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614209
MONDO:0014085	hydrocephalus, nonsyndromic, autosomal recessive 2	DOID:0070683	MONDO:equivalentTo	congenital hydrocephalus 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615219
MONDO:0014164	Meckel syndrome, type 11	DOID:0061296	MONDO:equivalentTo	Meckel syndrome 11	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615397
MONDO:0014552	lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome	DOID:0061297	MONDO:equivalentTo	Meckel syndrome 12	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616258
MONDO:0020796	Silver-Russell syndrome 1	DOID:14681	MONDO:equivalentTo	Silver-Russell syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:180860
MONDO:0032646	congenital anomalies of kidney and urinary tract 3	DOID:0051078	MONDO:equivalentTo	congenital anomalies of the kidney and urinary tract 3	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618270
MONDO:0032692	Galloway-Mowat syndrome 7	DOID:0061299	MONDO:equivalentTo	retinitis pigmentosa 101	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618348
MONDO:0032862	hydrocephalus, congenital communicating, 1	DOID:0070685	MONDO:equivalentTo	congenital hydrocephalus 4	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:618667
MONDO:0054794	hydrocephalus, congenital, 3, with brain anomalies	DOID:0070684	MONDO:equivalentTo	congenital hydrocephalus 3	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:617967
MONDO:0056795	X-linked spermatogenic failure 1	DOID:0050457	MONDO:equivalentTo	Sertoli cell-only syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	del castillo syndrome
