subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0005641	aleutian mink disease	DOID:2934	MONDO:equivalentTo	aleutian mink disease	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	aleutian mink disorder
MONDO:0005676	borna disease	DOID:5154	MONDO:equivalentTo	borna disease	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	borna disorder
MONDO:0007315	cherubism	DOID:0070648	MONDO:equivalentTo	cherubism	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:d002636
MONDO:0007744	cholesterol-ester transfer protein deficiency	DOID:0111368	MONDO:equivalentTo	cholesterol-ester transfer protein deficiency	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cholesterol-ester transfer protein deficiency
MONDO:0009465	multiple intestinal atresia	DOID:14671	MONDO:equivalentTo	multiple intestinal atresia	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	multiple intestinal atresia
MONDO:0009962	Senior-Loken syndrome 1	DOID:0061277	MONDO:equivalentTo	Senior-Loken syndrome 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:266900
MONDO:0010194	Weill-Marchesani syndrome 1	DOID:0061273	MONDO:equivalentTo	Weill-Marchesani syndrome 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:277600
MONDO:0011756	Senior-Loken syndrome 4	DOID:0061278	MONDO:equivalentTo	Senior-Loken syndrome 4	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:606996
MONDO:0012225	Senior-Loken syndrome 5	DOID:0061279	MONDO:equivalentTo	Senior-Loken syndrome 5	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:609254
MONDO:0012433	Senior-Loken syndrome 6	DOID:0061280	MONDO:equivalentTo	Senior-Loken syndrome 6	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:610189
MONDO:0012853	Fontaine progeroid syndrome	DOID:0051067	MONDO:equivalentTo	Fontaine progeroid syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612289
MONDO:0013326	Senior-Loken syndrome 7	DOID:0061281	MONDO:equivalentTo	Senior-Loken syndrome 7	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:613615
MONDO:0013899	Weill-Marchesani syndrome 3	DOID:0061275	MONDO:equivalentTo	Weill-Marchesani syndrome 3	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614819
MONDO:0014240	periventricular nodular heterotopia 6	DOID:0061269	MONDO:equivalentTo	periventricular nodular heterotopia 6	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615544
MONDO:0014549	lethal congenital contracture syndrome 6	DOID:0061262	MONDO:equivalentTo	lethal congenital contracture syndrome 6	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616248
MONDO:0014569	lethal congenital contracture syndrome 7	DOID:0061263	MONDO:equivalentTo	lethal congenital contracture syndrome 7	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616286
MONDO:0014570	lethal congenital contracture syndrome 8	DOID:0061264	MONDO:equivalentTo	lethal congenital contracture syndrome 8	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616287
MONDO:0014579	Senior-Loken syndrome 8	DOID:0061282	MONDO:equivalentTo	Senior-Loken syndrome 8	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616307
MONDO:0014670	lethal congenital contracture syndrome 9	DOID:0061265	MONDO:equivalentTo	lethal congenital contracture syndrome 9	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616503
MONDO:0014712	Senior-Loken syndrome 9	DOID:0061283	MONDO:equivalentTo	Senior-Loken syndrome 9	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616629
MONDO:0014965	lethal congenital contracture syndrome 11	DOID:0061267	MONDO:equivalentTo	lethal congenital contracture syndrome 11	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:617194
MONDO:0014966	periventricular nodular heterotopia 7	DOID:0061270	MONDO:equivalentTo	periventricular nodular heterotopia 7	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:617201
MONDO:0016012	diethylstilbestrol syndrome	DOID:0051077	MONDO:equivalentTo	diethylstilbestrol syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	diethylstilbestrol syndrome
