term_id	exclusion_reason
ID	AI MONDOREL:has_exclusion_reason
NCIT:134528	MONDO:excludeNonDisease
NCIT:134533	MONDO:excludeNonDisease
NCIT:134535	MONDO:excludeNonDisease
NCIT:C1000	MONDO:excludeNonDisease
NCIT:C10000	MONDO:excludeNonDisease
NCIT:C100000	MONDO:excludeNonDisease
NCIT:C100001	MONDO:excludeNonDisease
NCIT:C100002	MONDO:excludeNonDisease
NCIT:C100003	MONDO:excludeNonDisease
NCIT:C100004	MONDO:excludeNonDisease
NCIT:C100005	MONDO:excludeNonDisease
NCIT:C100006	MONDO:excludeNonDisease
NCIT:C100007	MONDO:excludeNonDisease
NCIT:C100008	MONDO:excludeNonDisease
NCIT:C100009	MONDO:excludeNonDisease
NCIT:C10001	MONDO:excludeNonDisease
NCIT:C100010	MONDO:excludeNonDisease
NCIT:C100011	MONDO:excludeNonDisease
NCIT:C100012	MONDO:excludeNonDisease
NCIT:C100013	MONDO:excludeNonDisease
NCIT:C100014	MONDO:excludeNonDisease
NCIT:C100015	MONDO:excludeNonDisease
NCIT:C100016	MONDO:excludeNonDisease
NCIT:C100017	MONDO:excludeNonDisease
NCIT:C100018	MONDO:excludeNonDisease
NCIT:C100019	MONDO:excludeNonDisease
NCIT:C10002	MONDO:excludeNonDisease
NCIT:C100020	MONDO:excludeNonDisease
NCIT:C100021	MONDO:excludeNonDisease
NCIT:C100022	MONDO:excludeNonDisease
NCIT:C100023	MONDO:excludeNonDisease
NCIT:C100024	MONDO:excludeNonDisease
NCIT:C100025	MONDO:excludeNonDisease
NCIT:C100026	MONDO:excludeNonDisease
NCIT:C100027	MONDO:excludeNonDisease
NCIT:C100028	MONDO:excludeNonDisease
NCIT:C100029	MONDO:excludeNonDisease
NCIT:C10003	MONDO:excludeNonDisease
NCIT:C100030	MONDO:excludeNonDisease
NCIT:C100031	MONDO:excludeNonDisease
NCIT:C100032	MONDO:excludeNonDisease
NCIT:C100033	MONDO:excludeNonDisease
NCIT:C100034	MONDO:excludeNonDisease
NCIT:C100035	MONDO:excludeNonDisease
NCIT:C100036	MONDO:excludeNonDisease
NCIT:C100037	MONDO:excludeNonDisease
NCIT:C100038	MONDO:excludeNonDisease
NCIT:C100039	MONDO:excludeNonDisease
NCIT:C10004	MONDO:excludeNonDisease
NCIT:C100040	MONDO:excludeNonDisease
NCIT:C100041	MONDO:excludeNonDisease
NCIT:C100042	MONDO:excludeNonDisease
