subject_id	subject_label
OMIM:621510	congenital myopathy 29 with contractures
OMIM:621556	deafness, autosomal dominant 91
OMIM:621426	drug metabolism, altered, cyp2a6-related
OMIM:621539	ebstein-bezieau neurodevelopmental syndrome
OMIM:621511	lethal congenital contracture syndrome 12
OMIM:621552	luo-agrawal neurodevelopmental syndrome
OMIM:621528	meier-gorlin syndrome 10
OMIM:621533	neurodevelopmental disorder with seizures and impaired intellectual and language development
OMIM:621548	retinitis pigmentosa 101
OMIM:621535	spinocerebellar ataxia 52
