mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_internal	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																		A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000009	inherited bleeding disorder, platelet-type	oio:hasExactSynonym	oio:hasBroadSynonym	blood platelet disease	blood platelet disease		False	blood platelet disease		False	DOID:2218	blood platelet disease		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				blood platelet disease	DOID:2218										
MONDO:0000009	inherited bleeding disorder, platelet-type	oio:hasExactSynonym	oio:hasBroadSynonym	platelet disorder	platelet disorder		False	platelet disorder		False	DOID:2218	blood platelet disease						platelet disorder	DOID:2218										
MONDO:0000009	inherited bleeding disorder, platelet-type	oio:hasExactSynonym	oio:hasRelatedSynonym	thrombocytopathy	thrombocytopathy	thrombocytopathy	False	Thrombocytopathy	Thrombocytopathy	False	DOID:2218	blood platelet disease						thrombocytopathy	DOID:2218										
MONDO:0000050	isolated congenital growth hormone deficiency	oio:hasExactSynonym	oio:hasRelatedSynonym	non-acquired isolated growth hormone deficiency	non-acquired isolated growth hormone deficiency		False	non-acquired isolated growth hormone deficiency		False	DOID:0060870	isolated growth hormone deficiency						non-acquired isolated growth hormone deficiency	DOID:0060870										
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	oio:hasExactSynonym	oio:hasRelatedSynonym	ICF syndrome	ICF syndrome		False	ICF syndrome		False	DOID:0090007	immunodeficiency-centromeric instability-facial anomalies syndrome						ICF syndrome	DOID:0090007										
MONDO:0000227	African tick-bite fever	oio:hasExactSynonym	oio:hasRelatedSynonym	Rickettsia africae spotted fever	Rickettsia africae spotted fever		False	Rickettsia africae spotted fever		False	DOID:0050035	African tick-bite fever						Rickettsia africae spotted fever	DOID:0050035										
MONDO:0000227	African tick-bite fever	oio:hasExactSynonym	oio:hasRelatedSynonym	South African tick-bite fever	South African tick-bite fever	South African tick-bite fever	False	south african tick-bite fever	south african tick-bite fever	False	DOID:0050035	African tick-bite fever						South African tick-bite fever	DOID:0050035										
MONDO:0000233	Japanese spotted fever	oio:hasExactSynonym	oio:hasRelatedSynonym	oriental spotted fever	oriental spotted fever		False	oriental spotted fever		False	DOID:0050050	Japanese spotted fever						oriental spotted fever	DOID:0050050										
MONDO:0000234	Rickettsia parkeri spotted fever	oio:hasExactSynonym	oio:hasRelatedSynonym	maculatum infection	maculatum infection		False	maculatum infection		False	DOID:0050051	Rickettsia parkeri spotted fever						maculatum infection	DOID:0050051										
MONDO:0000261	adenoiditis	oio:hasExactSynonym	oio:hasNarrowSynonym	chronic adenoiditis	chronic adenoiditis		False	chronic adenoiditis		False	DOID:0050145	adenoiditis						chronic adenoiditis	DOID:0050145										
MONDO:0000262	otomycosis	oio:hasExactSynonym	oio:hasRelatedSynonym	Singapore ear	Singapore ear		False	Singapore ear		False	DOID:0050147	otomycosis						Singapore ear	DOID:0050147										
MONDO:0000283	Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type	oio:hasExactSynonym	oio:hasRelatedSynonym	Korean hemorrhagic fever	Korean hemorrhagic fever		False	Korean hemorrhagic fever		False	DOID:0050200	Korean hemorrhagic fever		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				Korean hemorrhagic fever	DOID:0050200										
MONDO:0000284	Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type	oio:hasExactSynonym	oio:hasRelatedSynonym	nephropathia epidemica	nephropathia epidemica		False	nephropathia epidemica		False	DOID:0050201	nephropathia epidemica		http://purl.obolibrary.org/obo/mondo#GENERATED_FROM_LABEL				nephropathia epidemica	DOID:0050201										
MONDO:0000291	granulomatous amebic encephalitis	oio:hasExactSynonym	oio:hasRelatedSynonym	Acanthamoeba encephalitis	Acanthamoeba encephalitis		False	Acanthamoeba encephalitis		False	DOID:0050246	granulomatous amebic encephalitis						Acanthamoeba encephalitis	DOID:0050246										
