mondo_id	mondo_label	xref	xref_source	original_label	definition	parents
ID	LABEL	A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|		A IAO:0000115	SC %
MONDO:0981029	drug metabolism, altered, cyp2a6-related	OMIM:621426	MONDO:equivalentTo	drug metabolism, altered, cyp2a6-related		
MONDO:0981170	neurodevelopmental disorder, x-linked, with poor or absent speech and behavioral abnormalities	OMIM:301164	MONDO:equivalentTo	neurodevelopmental disorder, x-linked, with poor or absent speech and behavioral abnormalities		
MONDO:0981171	retinal dystrophy, zeitz-han type	OMIM:621558	MONDO:equivalentTo	retinal dystrophy, zeitz-han type		
MONDO:0981172	dentin dysplasia, type 1c	OMIM:621559	MONDO:equivalentTo	dentin dysplasia, type 1c		MONDO:0007436
MONDO:0981173	retinitis pigmentosa 102	OMIM:621560	MONDO:equivalentTo	retinitis pigmentosa 102		MONDO:0019200
MONDO:0981174	retinitis pigmentosa 103	OMIM:621561	MONDO:equivalentTo	retinitis pigmentosa 103		MONDO:0019200
MONDO:0981175	retinitis pigmentosa 104	OMIM:621562	MONDO:equivalentTo	retinitis pigmentosa 104		MONDO:0019200
MONDO:0981176	retinitis pigmentosa 105	OMIM:621563	MONDO:equivalentTo	retinitis pigmentosa 105		MONDO:0019200
MONDO:0981177	retinitis pigmentosa 106	OMIM:621564	MONDO:equivalentTo	retinitis pigmentosa 106		MONDO:0019200
MONDO:0981178	yu-kury neurodevelopmental syndrome	OMIM:621565	MONDO:equivalentTo	yu-kury neurodevelopmental syndrome		
MONDO:0981179	davis-wells syndrome	OMIM:621566	MONDO:equivalentTo	davis-wells syndrome		
