mondo_id	mondo_label	xref	xref_source	original_label	definition	parents	subset
ID	LABEL	A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|		A IAO:0000115	SC %	
MONDO:0981002	combined immunodeficiency-lymphopenia-cancer predisposing syndrome due to aiolos deficiency	Orphanet:699593	MONDO:equivalentTo	Combined immunodeficiency-lymphopenia-cancer predisposing syndrome due to AIOLOS deficiency		MONDO:8000031|MONDO:0030333	subtype of a disorder
MONDO:0981003	combined immunodeficiency-hypogammaglobulinemia-cancer predisposing syndrome due to aiolos deficiency	Orphanet:699596	MONDO:equivalentTo	Combined immunodeficiency-hypogammaglobulinemia-cancer predisposing syndrome due to AIOLOS deficiency		MONDO:8000031|MONDO:0030333	subtype of a disorder
MONDO:0981006	sickle cell s-other specified hemoglobin variant	Orphanet:700107	MONDO:equivalentTo	Sickle cell S-other specified hemoglobin variant		MONDO:0979354|MONDO:8000031	subtype of a disorder
MONDO:0981034	common variable immunodeficiency without known genetic defect	Orphanet:231205	MONDO:equivalentTo	Common variable immunodeficiency without known genetic defect		MONDO:8000034|MONDO:0000001	disorder
MONDO:0981035	uterine arteriovenous malformation	Orphanet:693815	MONDO:equivalentTo	Uterine arteriovenous malformation		MONDO:0015106|MONDO:8000034|MONDO:8000032	disorder
MONDO:0981036	pancreatic arteriovenous malformation	Orphanet:693826	MONDO:equivalentTo	Pancreatic arteriovenous malformation		MONDO:8000034|MONDO:8000032|MONDO:0015213	disorder
MONDO:0981037	gastrointestinal tract arteriovenous malformation	Orphanet:693832	MONDO:equivalentTo	Gastrointestinal tract arteriovenous malformation		MONDO:0015245|MONDO:0015621|MONDO:8000032|MONDO:8000034	disorder
MONDO:0981038	renal arteriovenous malformation	Orphanet:693839	MONDO:equivalentTo	Renal arteriovenous malformation		MONDO:0019748|MONDO:8000034|MONDO:8000032	disorder
MONDO:0981039	hepatic arteriovenous malformation	Orphanet:693846	MONDO:equivalentTo	Hepatic arteriovenous malformation		MONDO:0015113|MONDO:8000032|MONDO:8000034	disorder
MONDO:0981040	splenic arteriovenous malformation	Orphanet:693863	MONDO:equivalentTo	Splenic arteriovenous malformation		MONDO:8000032|MONDO:8000034|MONDO:0015213	disorder
MONDO:0981041	gallblader arteriovenous malformation	Orphanet:693869	MONDO:equivalentTo	Gallblader arteriovenous malformation		MONDO:0015213|MONDO:8000032|MONDO:8000034	disorder
MONDO:0981042	urinary tract arteriovenous malformation	Orphanet:693872	MONDO:equivalentTo	Urinary tract arteriovenous malformation		MONDO:8000032|MONDO:0015106|MONDO:8000034	disorder
MONDO:0981043	common variable immunodeficiency phenotype due to germinal digenic/polygenic mutations	Orphanet:696857	MONDO:equivalentTo	Common variable immunodeficiency phenotype due to germinal digenic/polygenic mutations		MONDO:8000034|MONDO:0000001	disorder
MONDO:0981044	common variable immunodeficiency phenotype due to somatic mutations	Orphanet:696863	MONDO:equivalentTo	Common variable immunodeficiency phenotype due to somatic mutations		MONDO:8000034|MONDO:0000001	disorder
MONDO:0981045	common variable immunodeficiency phenotype due to germinal monogenic mutation	Orphanet:696870	MONDO:equivalentTo	Common variable immunodeficiency phenotype due to germinal monogenic mutation		MONDO:8000033	group of disorders
MONDO:0981046	autoimmune heparin-induced thrombocytopenia	Orphanet:698945	MONDO:equivalentTo	Autoimmune heparin-induced thrombocytopenia		MONDO:8000034|MONDO:0000001	disorder
MONDO:0981047	spontaneous heparin-induced thrombocytopenia	Orphanet:699021	MONDO:equivalentTo	Spontaneous heparin-induced thrombocytopenia		MONDO:8000034|MONDO:0000001	disorder
MONDO:0981048	vaccine-induced immune thrombotic thrombocytopenia	Orphanet:699029	MONDO:equivalentTo	Vaccine-induced immune thrombotic thrombocytopenia		MONDO:8000034|MONDO:0000001	disorder
